,Profil,Plage de puissance souscrite,Région,total_enr_cons
61,PRO4,P5: ]12-15] kVA,Hauts-de-France,0.0
62,PRO4,P6: ]15-18] kVA,Centre-Val de Loire,18884428577.0
63,PRO4,P6: ]15-18] kVA,Hauts-de-France,24159633501.0
64,PRO4,P7: ]18-36] kVA,Centre-Val de Loire,26033590350.0
65,PRO4,P7: ]18-36] kVA,Hauts-de-France,39244981488.0
66,PRO5,P0: Total <= 36 kVA,Centre-Val de Loire,278060068709.0
67,PRO5,P0: Total <= 36 kVA,Hauts-de-France,744481926459.0
68,PRO5,P1: ]0-3] kVA,Centre-Val de Loire,77676801321.0
69,PRO5,P1: ]0-3] kVA,Hauts-de-France,141989332214.0
70,PRO5,P2: ]3-6] kVA,Centre-Val de Loire,74052452515.0
71,PRO5,P2: ]3-6] kVA,Hauts-de-France,158497354591.0
72,PRO5,P3: ]6-9] kVA,Centre-Val de Loire,49854148502.0
73,PRO5,P3: ]6-9] kVA,Hauts-de-France,126179274712.0
74,PRO5,P4: ]9-12] kVA,Centre-Val de Loire,36440626389.0
75,PRO5,P4: ]9-12] kVA,Hauts-de-France,117092627294.0
76,PRO5,P5: ]12-15] kVA,Centre-Val de Loire,12832277757.0
77,PRO5,P5: ]12-15] kVA,Hauts-de-France,47831880793.0
78,PRO5,P6: ]15-18] kVA,Centre-Val de Loire,11708687760.0
79,PRO5,P6: ]15-18] kVA,Hauts-de-France,62553302326.0
80,PRO5,P7: ]18-24] kVA,Centre-Val de Loire,2110471946.0
81,PRO5,P7: ]18-24] kVA,Hauts-de-France,37128848386.0
82,PRO5,P8: ]24-30] kVA,Centre-Val de Loire,0.0
83,PRO5,P8: ]24-30] kVA,Hauts-de-France,19343141420.0
84,PRO5,P9: ]30-36] kVA,Centre-Val de Loire,2750272399.0
85,PRO5,P9: ]30-36] kVA,Hauts-de-France,33934127567.0
86,RES1 (+ RES1WE),P0: Total <= 36 kVA,Centre-Val de Loire,2054416661260.0
87,RES1 (+ RES1WE),P0: Total <= 36 kVA,Hauts-de-France,5757155077680.0
88,RES1 (+ RES1WE),P1: ]0-3] kVA,Centre-Val de Loire,99355495854.0
89,RES1 (+ RES1WE),P1: ]0-3] kVA,Hauts-de-France,209430075790.0
90,RES1 (+ RES1WE),P2: ]3-6] kVA,Centre-Val de Loire,1955056588263.0
91,RES1 (+ RES1WE),P2: ]3-6] kVA,Hauts-de-France,5547724289275.0
92,RES11 (+ RES11WE),P0: Total <= 36 kVA,Centre-Val de Loire,1673333646550.0
93,RES11 (+ RES11WE),P0: Total <= 36 kVA,Hauts-de-France,2199769013914.0
94,RES11 (+ RES11WE),P3: ]6-9] kVA,Centre-Val de Loire,840237982524.0
95,RES11 (+ RES11WE),P3: ]6-9] kVA,Hauts-de-France,1285464180517.0
96,RES11 (+ RES11WE),P4: ]9-12] kVA,Centre-Val de Loire,455737882425.0
97,RES11 (+ RES11WE),P4: ]9-12] kVA,Hauts-de-France,544993919089.0
98,RES11 (+ RES11WE),P5: ]12-15] kVA,Centre-Val de Loire,100305985411.0
99,RES11 (+ RES11WE),P5: ]12-15] kVA,Hauts-de-France,89186304201.0
100,RES11 (+ RES11WE),P6: ]15-18] kVA,Centre-Val de Loire,156576152735.0
101,RES11 (+ RES11WE),P6: ]15-18] kVA,Hauts-de-France,171940479591.0
102,RES11 (+ RES11WE),P7: ]18-24] kVA,Centre-Val de Loire,38119653931.0
103,RES11 (+ RES11WE),P7: ]18-24] kVA,Hauts-de-France,36118907413.0
