,hour,Total énergie soutirée (Wh)
0,00:00,1397.9647186634747
1,00:30,1261.186832740082
2,01:00,1259.4858844555404
3,01:30,1258.9509225595077
4,02:00,1245.2856880877914
5,02:30,1168.2410736378602
6,03:00,1098.6646456566348
7,03:30,1041.5177361491108
8,04:00,1006.4890005239398
9,04:30,984.9477157961696
10,05:00,1002.2032621190151
11,05:30,1010.5917839343365
12,06:00,1067.7474070560875
13,06:30,1104.8124783023254
14,07:00,1143.5843074787963
15,07:30,1149.3323631668948
16,08:00,1158.3706132859097
17,08:30,1175.1909204199726
18,09:00,1195.7433356730508
19,09:30,1204.2936248248973
20,10:00,1208.5365737359782
21,10:30,1209.6809821819425
22,11:00,1226.6108066703146
23,11:30,1267.1775412818058
24,12:00,1325.997106870041
25,12:30,1361.4804054322847
26,13:00,1297.4193013953488
27,13:30,1235.6177017373461
28,14:00,1218.1997891586866
29,14:30,1193.2707107264023
30,15:00,1188.6038444569083
31,15:30,1153.9449572243502
32,16:00,1120.7666235690835
33,16:30,1106.6787443283174
34,17:00,1131.8695369644322
35,17:30,1182.274955145007
36,18:00,1255.375248030096
37,18:30,1341.4908624404925
38,19:00,1403.6867636060192
39,19:30,1410.3834112065663
40,20:00,1377.5346653406293
41,20:30,1343.0515757222981
42,21:00,1339.1017081805746
43,21:30,1320.7018387264022
44,22:00,1337.8908960478798
45,22:30,1482.2339781450069
46,23:00,1459.6290545704514
47,23:30,1456.892063625171
