,Date,Région,Total énergie soutirée (Wh)
111,2022-05-26,Hauts-de-France,28293.091548
112,2022-05-27,Centre-Val de Loire,14115.620023
113,2022-05-27,Hauts-de-France,28340.872311
114,2022-05-28,Centre-Val de Loire,14104.295465
115,2022-05-28,Hauts-de-France,28214.411877
116,2022-05-29,Centre-Val de Loire,14238.433538
117,2022-05-29,Hauts-de-France,28497.061294
118,2022-05-30,Centre-Val de Loire,14418.654642
119,2022-05-30,Hauts-de-France,28820.650264
120,2022-05-31,Centre-Val de Loire,14287.048641
121,2022-05-31,Hauts-de-France,28577.129874
122,2022-06-01,Centre-Val de Loire,14348.178532
123,2022-06-01,Hauts-de-France,28682.712995
124,2022-06-02,Centre-Val de Loire,14130.166158
125,2022-06-02,Hauts-de-France,28241.235059
126,2022-06-03,Centre-Val de Loire,14112.012718
127,2022-06-03,Hauts-de-France,28251.603906
128,2022-06-04,Centre-Val de Loire,14079.933963
129,2022-06-04,Hauts-de-France,28199.056937
130,2022-06-05,Centre-Val de Loire,13826.133298
131,2022-06-05,Hauts-de-France,27739.136549
132,2022-06-06,Centre-Val de Loire,14022.570527
133,2022-06-06,Hauts-de-France,28119.375087
134,2022-06-07,Centre-Val de Loire,13999.680964
135,2022-06-07,Hauts-de-France,28050.946293
136,2022-06-08,Centre-Val de Loire,14111.478704
137,2022-06-08,Hauts-de-France,28282.590044
138,2022-06-09,Centre-Val de Loire,13957.662048
139,2022-06-09,Hauts-de-France,27919.903627
140,2022-06-10,Centre-Val de Loire,13993.927706
141,2022-06-10,Hauts-de-France,27983.984474
142,2022-06-11,Centre-Val de Loire,14038.285364
143,2022-06-11,Hauts-de-France,28097.205838
144,2022-06-12,Centre-Val de Loire,13985.736614
145,2022-06-12,Hauts-de-France,28034.191497
146,2022-06-13,Centre-Val de Loire,14109.257355
147,2022-06-13,Hauts-de-France,28267.809322
148,2022-06-14,Centre-Val de Loire,14167.0991
149,2022-06-14,Hauts-de-France,28365.355928
150,2022-06-15,Centre-Val de Loire,14481.529597
151,2022-06-15,Hauts-de-France,29025.050945
